GEOID,positive,total,zcta_cum_perc_pos,pop_size,housing_total,housing_rental,rent_pct,hhsize_average,hhsize_rented,hhsize_owned,race_total,race_hisp,race_nhBlack,hispanic_pct,nhblack_pct,age65_total,male_65over,female_65over,age65_over_pct,Med_house_income,foodstamp_pct,unemployed_pct,uninsured_pct,case_rate
10024,307,841,36.5,59283,30836,20559,66.67207160461798,1.88,1.73,2.17,30836,2753,1334,8.92787650797769,4.326112336230381,59283,4322,5632,16.790648246546226,131668,4.538972557476262,2.3918547648548185,5.360124979798524,517.8550343268728
10025,433,1084,39.94,94600,44432,33510,75.4186172128196,1.98,1.93,2.14,44432,8282,5265,18.639719121353977,11.849567879006122,94600,5817,9220,15.895348837209303,85930,12.483894058697208,4.362728785357737,6.227953410981697,457.71670190274847
10026,220,449,49,34003,14199,11463,80.7310373969998,2.29,2.33,2.13,14199,2609,7825,18.37453341784633,55.10951475456019,34003,1168,1988,9.281533982295679,58884,14.529693362660112,5.170248910554694,8.261319152079178,647.001735141017
10027,327,657,49.77,59707,22839,19870,87.00030649327904,2.26,2.27,2.2,22839,4989,10318,21.84421384473926,45.17710933053111,59707,2112,3556,9.49302426851123,46113,12.250640460291462,3.363079381992541,9.887231397620317,547.674477029494
10028,257,650,39.54,45141,25158,16843,66.9488830590667,1.79,1.62,2.12,25158,1179,417,4.686382065347007,1.657524445504412,45141,3218,4265,16.576947785826633,125140,1.3587171182557862,2.2556855000462863,4.026907766840497,569.3272191577502
10029,544,1070,50.84,76003,29378,27352,93.10368302811628,2.45,2.47,2.17,29378,14248,7875,48.49887671046361,26.8057730274355,76003,3313,6250,12.582398063234345,34016,33.90028400126223,7.187864644107352,10.830416180474524,715.7612199518439
10030,186,329,56.53,26999,11395,10251,89.96050899517331,2.29,2.3,2.19,11395,2078,8007,18.23606845107503,70.26766125493637,26999,1010,1494,9.274417571021148,37232,33.51915829145729,8.829558998808105,11.34684147794994,688.914404237194
10031,407,670,60.75,56438,20638,18502,89.65015989921504,2.72,2.76,2.35,20638,9661,7106,46.81170656071325,34.43163097199341,56438,2230,3841,10.756936815620682,49891,27.66974816703857,5.428492059817584,16.493819158294365,721.1453276161452
10032,508,857,59.28,57331,20228,18718,92.535099861578,2.79,2.83,2.33,20228,12139,4005,60.01087601344671,19.79928811548349,57331,2680,4509,12.539463815387835,50391,32.9045330317595,6.480736180303261,17.85846368046642,886.0825731279762
10033,439,730,60.14,53926,18975,16998,89.58102766798419,2.8,2.87,2.17,18975,11515,889,60.68511198945982,4.685111989459815,53926,2457,3977,11.931164929718504,58614,29.43211886830857,6.8765242752621125,11.693862670655973,814.0785520899009
10034,212,416,50.96,38908,15007,13640,90.89091757179982,2.58,2.63,2.05,15007,9200,1234,61.30472446191777,8.222829346305058,38908,1528,2601,10.61221342654467,54716,30.748679714196957,5.709816190848651,13.36793827994454,544.8750899557931
10035,301,580,51.9,33969,12775,11583,90.6692759295499,2.44,2.46,2.19,12775,5731,4966,44.86105675146771,38.87279843444227,33969,1547,2300,11.325031646501222,30081,22.366232326032716,4.6419877444808195,15.999328464702426,886.1020342076598
10036,189,404,46.78,24711,15183,13515,89.01402884805374,1.59,1.58,1.71,15183,2100,1267,13.831258644536653,8.34485938220378,24711,1250,1254,10.13313908785561,91936,10.399802261632578,3.6720094177306892,7.122158833650276,764.8415685322326
10037,146,282,51.77,17416,8885,8231,92.63927968486213,1.91,1.91,1.9,8885,1163,6853,13.089476646032638,77.12999437253798,17416,985,2029,17.30592558566835,45041,22.176549172746892,9.722767611717584,11.175685227361972,838.3096003674782
10038,114,238,47.9,20300,9410,7040,74.81402763018066,1.98,2.02,1.89,9410,1205,553,12.805526036131775,5.87672688629118,20300,1082,1798,14.187192118226601,86058,17.845249755142017,4.037522976484756,5.057995816695189,561.576354679803
10039,178,340,52.35,24527,10070,8954,88.91757696127111,2.41,2.46,2,10070,2244,6933,22.284011916583914,68.84806355511421,24527,904,1834,11.163207893342031,39653,27.45762711864407,8.610348113683502,11.345927462301699,725.7308272516002
10040,329,543,60.59,41905,15718,14083,89.59791322051151,2.61,2.68,2.01,15718,9632,891,61.28006107647283,5.668660134877211,41905,1942,3599,13.222765779739888,47137,32.142636425437246,7.9105612385955215,10.937931987835222,785.1091755160483
10044,68,155,43.87,11661,4501,4004,88.95800933125972,2.17,2.19,1.98,4501,531,627,11.797378360364362,13.930237724950011,11661,771,973,14.955835691621644,100441,9.856781802864365,4.887477564545078,9.01560127019191,583.1403824714861
10065,182,520,35,32270,18544,12763,68.82549611734254,1.72,1.66,1.86,18544,944,253,5.090595340811044,1.3643226919758413,32270,2689,3641,19.615742175395106,127375,2.7890056588520613,2.368333885392514,3.4945346141106324,563.9913232104121
10069,32,81,39.51,5199,2696,1893,70.21513353115726,1.93,1.82,2.19,2696,170,106,6.3056379821958455,3.931750741839762,5199,204,227,8.290055779957683,110625,2.8605015673981193,2.2790439132851583,2.5847693162868257,615.5029813425658
10075,226,488,46.31,26121,14622,8565,58.57611817808781,1.74,1.56,1.98,14622,703,199,4.807823827109835,1.3609629325673642,26121,1965,2912,18.670801271008,137146,1.96647032170367,0.7992090302381148,2.5294553843618686,865.2042417977872
10128,306,801,38.2,60453,32306,22604,69.96842691760044,1.85,1.73,2.15,32306,2777,1386,8.59592645329041,4.29022472605708,60453,3430,4955,13.870279390600961,114010,4.906975986445538,3.3261666877450358,4.1912229669912735,506.17835343159146
10280,23,66,34.85,7853,4053,2982,73.57512953367875,1.94,1.94,1.94,4053,285,114,7.031828275351591,2.8127313101406366,7853,252,272,6.672609193938622,169844,2.1271929824561404,3.2951945080091534,3.9206712433257054,292.8817012606647
10282,36,65,55.38,4783,2215,2091,94.4018058690745,2.16,2.12,2.81,2215,154,53,6.952595936794583,2.3927765237020315,4783,91,214,6.376750993100565,250001,1.1205737337516808,2.6674233825198637,2.1566401816118046,752.6656909889191
10301,324,592,54.73,39706,14719,8667,58.883076295944015,2.51,2.4,2.67,14719,2879,3184,19.559752700591073,21.631904341327534,39706,1944,2789,11.92011282929532,55802,21.08496100490027,3.315127651467039,8.793767729370423,815.997582229386
10302,156,297,52.53,19088,6002,2966,49.4168610463179,3.16,3.16,3.16,6002,1794,1210,29.890036654448515,20.15994668443852,19088,717,1053,9.272841575859179,64103,21.060335013823387,2.454669859733151,14.924734861443723,817.2673931265717
10303,229,448,51.12,26337,8239,3745,45.45454545454545,3.19,3.08,3.28,8239,2479,2959,30.088602985799245,35.91455273698264,26337,762,1057,6.906633253597601,62558,23.406081412457088,2.806821010704506,11.737615135673387,869.4991836579716
